user_id,most_search_month_6,most_search_month_7,category_t6,category_t7,Trending_Type,Previous
06057603,bóng đá hôm nay,trực tiếp bóng đá nữ hôm nay,other,other,Unchanged,Unchanged
06061325,siêu nhân,mẹ tôi,Westen,song,Changed,Westen -> song
06061325,siêu nhân,mẹ tôi,Anime,song,Changed,Anime -> song
06061325,siêu nhân,mẹ tôi,animation,song,Changed,animation -> song
06061469,phẩm chất quý cô,phẩm chất quý cô,K-drama,K-drama,Unchanged,Unchanged
06061855,Yêu Nhầm Chị Dâu,YEU  N,Thai-drama,Thai-drama,Unchanged,Unchanged
06062501,cô dâu nhập khẩu,phim Thái Lan cặp đôi cay như ớt tập 14,C-drama,Thai-drama,Changed,C-drama -> Thai-drama
06062526,công chúa Aurora hàn phim,shooting star,K-drama,K-drama,Unchanged,Unchanged
06062641,HOC VIEN MA VUONG,F4,Anime,Thai-drama,Changed,Anime -> Thai-drama
06062754,fairy tail,Fairy Tail,Anime,Anime,Unchanged,Unchanged
06062865,ông thầy vi diệu 2,bac si trai giam,Anime,K-drama,Changed,Anime -> K-drama
06063464,the great game,thử thách thần chết: giữa hai thế giới,Westen,K-drama,Changed,Westen -> K-drama
06064091,Alive,bất động sản trừ tà,K-drama,K-drama,Unchanged,Unchanged
06064404,lam diễm đột kích,nguyệt thượng trọng hòa,C-drama,C-drama,Unchanged,Unchanged
06064761,minh châu rực rỡ,bí mật không thể yêu đương,Thai-drama,C-drama,Changed,Thai-drama -> C-drama
06065004,"nabi, tôi sẽ không yêu em",thâm kế độc tình,Thai-drama,Viet-drama,Changed,Thai-drama -> Viet-drama
06065004,"nabi, tôi sẽ không yêu em",thâm kế độc tình,Thai-drama,Thai-drama,Unchanged,Unchanged
06065516,cuộc chiến thượng lưu,vip,K-drama,K-drama,Unchanged,Unchanged
06067575,trường a như cố,sứ mệnh cuối cùng của thiên thần,C-drama,K-drama,Changed,C-drama -> K-drama
06068457,mojito the magic,bắt ma phá án,K-drama,K-drama,Unchanged,Unchanged
06069415,đuong chuyên,tha thi thien ha,C-drama,C-drama,Unchanged,Unchanged
06069575,vượt ra tội ác,tinh hán xán lạn,K-drama,C-drama,Changed,K-drama -> C-drama
06069887,con tim,con tim sắt đá,Thai-drama,Thai-drama,Unchanged,Unchanged
06070159,thanh gươm diệt quỷ 2,ko,Anime,Anime,Unchanged,Unchanged
06070794,TORADORA,SPY X FAMYLY,Anime,Anime,Unchanged,Unchanged
06071179,chạng vạng 3,lưu ly mỹ nhân sát thuyết minh trọn bộ,Westen,C-drama,Changed,Westen -> C-drama
06073461,thiên nga bóng đêm,cô dâu ma,K-drama,animation,Changed,K-drama -> animation
06074371,con của chúng mình,ai cũng khao khát gặp được em,C-drama,C-drama,Unchanged,Unchanged
06075159,u23 hàn quốc vs u23 thái lan,naruto,other,Anime,Changed,other -> Anime
06076080,KARAOKE,KARAOKE,song,song,Unchanged,Unchanged
