Contract,Total_Giai_tri,Total_Phim_truyen,Total_The_thao,Total_Thieu_nhi,Total_Truyen_hinh,TotalDevices,MostWatch,CustomerTaste,Activeness,CustomerType
AGD004253,0,0,0,0,264972,1,Truyen_hinh,Truyen_hinh,moderate,4
AGD004353,0,0,0,0,54505,1,Truyen_hinh,Truyen_hinh,moderate,3
AGD004478,0,0,0,0,53793,1,Truyen_hinh,Truyen_hinh,high,0
AGD004556,0,0,0,0,2195,1,Truyen_hinh,Truyen_hinh,very low,1
AGD004722,0,26569,0,1858,550587,2,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,high,5
AGD004757,0,0,0,0,158257,1,Truyen_hinh,Truyen_hinh,very low,0
AGD005092,0,0,0,0,2296051,1,Truyen_hinh,Truyen_hinh,very high,6
AGD005978,0,0,0,0,302887,1,Truyen_hinh,Truyen_hinh,very high,6
AGD006017,0,0,0,0,1167623,1,Truyen_hinh,Truyen_hinh,high,5
AGD006329,0,0,0,0,143708,1,Truyen_hinh,Truyen_hinh,very high,6
AGD007033,0,42827,0,0,227547,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGD007294,0,0,0,0,2107087,1,Truyen_hinh,Truyen_hinh,very high,6
AGD007633,0,0,0,0,310423,1,Truyen_hinh,Truyen_hinh,moderate,4
AGD007748,0,0,0,0,355440,1,Truyen_hinh,Truyen_hinh,very high,6
AGD007795,0,0,0,0,81062,1,Truyen_hinh,Truyen_hinh,high,5
AGD007876,0,169,0,0,14744,1,Truyen_hinh,Truyen_hinh-Phim_truyen,very high,0
AGD008076,0,0,0,0,104569,1,Truyen_hinh,Truyen_hinh,high,5
AGD008077,0,37780,0,0,7569,1,Phim_truyen,Truyen_hinh-Phim_truyen,low,2
AGD008179,13225,135699,0,0,115222,1,Phim_truyen,Truyen_hinh-Phim_truyen-Giai_tri,very high,6
AGD008265,0,0,0,0,147621,2,Truyen_hinh,Truyen_hinh,very high,6
AGD008357,0,0,0,0,44864,1,Truyen_hinh,Truyen_hinh,very low,1
AGD008481,0,0,0,0,458429,1,Truyen_hinh,Truyen_hinh,moderate,4
AGD008540,0,0,0,16518,1023573,2,Truyen_hinh,Truyen_hinh-Thieu_nhi,very high,6
AGD008544,0,0,0,0,673780,2,Truyen_hinh,Truyen_hinh,very high,6
AGD008679,0,12401,0,49675,166302,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,very high,6
AGD008710,0,674545,0,0,2733733,3,Truyen_hinh,Truyen_hinh-Phim_truyen,very high,6
AGD008828,0,0,0,0,65463,1,Truyen_hinh,Truyen_hinh,very high,6
AGD008901,0,0,0,0,46759,1,Truyen_hinh,Truyen_hinh,moderate,3
AGD009199,0,0,0,0,8798,1,Truyen_hinh,Truyen_hinh,very low,1
AGD009414,0,9029,0,599,406755,2,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,very high,6
AGD009465,0,0,0,0,462516,1,Truyen_hinh,Truyen_hinh,high,5
AGD009527,0,0,0,0,1140784,1,Truyen_hinh,Truyen_hinh,high,5
AGD009661,0,0,0,0,11479,1,Truyen_hinh,Truyen_hinh,low,2
AGD009904,0,0,0,0,19033,1,Truyen_hinh,Truyen_hinh,low,2
AGD010344,0,69125,0,0,299672,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGD010655,0,62550,0,0,1378751,2,Truyen_hinh,Truyen_hinh-Phim_truyen,very high,6
AGD010813,0,0,0,0,1759,1,Truyen_hinh,Truyen_hinh,very low,1
AGD011212,0,3799,0,0,308980,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGD011274,0,0,0,0,585022,1,Truyen_hinh,Truyen_hinh,high,5
AGD011326,0,0,0,0,29103,1,Truyen_hinh,Truyen_hinh,very low,1
AGD011528,0,0,0,0,802431,1,Truyen_hinh,Truyen_hinh,high,5
AGD011630,0,3353,0,0,51968,1,Truyen_hinh,Truyen_hinh-Phim_truyen,moderate,3
AGD011670,0,0,0,0,2511869,1,Truyen_hinh,Truyen_hinh,very high,6
AGD011727,0,0,0,0,160564,1,Truyen_hinh,Truyen_hinh,low,2
AGD011771,0,0,0,0,258335,1,Truyen_hinh,Truyen_hinh,high,5
AGD012099,0,0,0,0,284947,1,Truyen_hinh,Truyen_hinh,moderate,4
AGD012718,0,1690,0,0,460155,1,Truyen_hinh,Truyen_hinh-Phim_truyen,low,0
